iteration,node_id,radius,theta_rad,theta_deg,ring_type
0,0,5.0,0.0175532925199432,1.0057295779513082,outer
0,1,5.0,0.2617993877991494,14.999999999999998,outer
0,14,4.0,0.2617993877991494,14.999999999999998,middle
0,27,3.0,0.2617993877991494,14.999999999999998,inner
0,2,5.0,0.5235987755982987,29.999999999999996,outer
0,15,4.0,0.5235987755982988,30.0,middle
0,28,3.0,0.5235987755982988,30.0,inner
0,3,5.0,0.7853981633974483,45.0,outer
0,16,4.0,0.7853981633974483,45.0,middle
0,29,3.0,0.7853981633974483,45.0,inner
0,4,5.0,1.0471975511965976,59.99999999999999,outer
0,17,4.0,1.0471975511965976,59.99999999999999,middle
0,30,3.0,1.0471975511965976,59.99999999999999,inner
0,5,5.0,1.308996938995747,74.99999999999999,outer
0,18,4.0,1.308996938995747,74.99999999999999,middle
0,31,3.0,1.308996938995747,74.99999999999999,inner
0,6,5.0,1.5707963267948966,90.0,outer
0,19,4.0,1.5707963267948966,90.0,middle
0,32,3.0,1.5707963267948966,90.0,inner
0,7,5.0,1.832595714594046,105.0,outer
0,20,4.0,1.832595714594046,105.0,middle
0,33,3.0,1.832595714594046,105.0,inner
0,8,5.0,2.0943951023931957,120.0,outer
0,21,4.0,2.0943951023931957,120.0,middle
0,34,3.0,2.0943951023931957,120.0,inner
0,9,5.0,2.356194490192345,135.0,outer
0,22,4.0,2.356194490192345,135.0,middle
0,35,3.0,2.356194490192345,135.0,inner
0,10,5.0,2.617993877991494,149.99999999999997,outer
0,23,4.0,2.617993877991494,149.99999999999997,middle
0,36,3.0,2.617993877991494,149.99999999999997,inner
0,11,5.0,2.8797932657906435,165.0,outer
0,24,4.0,2.8797932657906435,165.0,middle
0,37,3.0,2.8797932657906435,165.0,inner
0,12,5.0,3.12403936106985,178.9942704220487,outer
1,0,5.0,0.0174545768014828,1.000073583911922,outer
1,1,5.0,0.2607325595847301,14.938875245848294,outer
1,14,4.0,0.2607325602937095,14.938875286469823,middle
1,27,3.0,0.2607325609940468,14.938875326596197,inner
1,2,5.0,0.5195380888357156,29.76733978657934,outer
1,15,4.0,0.5195380895648283,29.767339828354416,middle
1,28,3.0,0.5195380902778314,29.767339869206484,inner
1,3,5.0,0.7808829407676602,44.74129679975118,outer
1,16,4.0,0.7808829414982672,44.74129684161188,middle
1,29,3.0,0.7808829422030071,44.7412968819905,inner
1,4,5.0,1.0438267811788509,59.806869104273865,outer
1,17,4.0,1.0438267819026352,59.80686914574365,middle
1,30,3.0,1.043826782608384,59.80686918618009,inner
1,5,5.0,1.3078180411000582,74.93245412610017,outer
1,18,4.0,1.307818041806335,74.93245416656684,middle
1,31,3.0,1.3078180425026698,74.93245420646389,inner
1,6,5.0,1.570796319561191,89.9999995855392,outer
1,19,4.0,1.5707963195611971,89.99999958553956,middle
1,32,3.0,1.570796319561198,89.9999995855396,inner
1,7,5.0,1.833774596655226,105.06754496664932,outer
1,20,4.0,1.833774597316116,105.0675450045155,middle
1,33,3.0,1.8337745979867304,105.06754504293887,inner
1,8,5.0,2.097765856576154,120.1931299884596,outer
1,21,4.0,2.09776585721996,120.19313002534696,middle
1,34,3.0,2.097765857881153,120.19313006323054,inner
1,9,5.0,2.3607096969872043,135.25870229297425,outer
1,22,4.0,2.360709697624445,135.25870232948543,middle
1,35,3.0,2.36070969828655,135.25870236742125,inner
1,10,5.0,2.6220545489191585,150.23265930614664,outer
1,23,4.0,2.622054549557782,150.2326593427371,middle
1,36,3.0,2.6220545502118218,150.23265938021078,inner
1,11,5.0,2.880860078170514,165.06112384689885,outer
1,24,4.0,2.880860078828744,165.06112388461267,middle
1,37,3.0,2.880860079495391,165.06112392280872,inner
1,12,5.0,3.1241380623209056,178.99992558716684,outer
2,0,5.0,0.0174534013937329,1.0000062380086443,outer
2,1,5.0,0.2550546906110465,14.613557317027947,outer
2,14,4.0,0.2550546912645337,14.613557354470007,middle
2,27,3.0,0.2550546918648242,14.61355738886412,inner
2,2,5.0,0.5153025455239355,29.524661030869478,outer
2,15,4.0,0.5153025461695303,29.52466106785933,middle
2,28,3.0,0.5153025467843616,29.52466110308657,inner
2,3,5.0,0.7748038294184194,44.3929893762496,outer
2,16,4.0,0.7748038300762865,44.392989413942615,middle
2,29,3.0,0.7748038307057455,44.39298945000796,inner
2,4,5.0,1.0391272390896291,59.53760517691738,outer
2,17,4.0,1.03912723974369,59.53760521439229,middle
2,30,3.0,1.039127240370486,59.537605250305056,inner
2,5,5.0,1.3055792980633716,74.80418359868372,outer
2,18,4.0,1.3055792986935526,74.80418363479043,middle
2,31,3.0,1.3055792993110238,74.80418367016892,inner
2,6,5.0,1.5707963203601705,89.99999963131735,outer
2,19,4.0,1.5707963203602409,89.99999963132139,middle
2,32,3.0,1.5707963203602404,89.99999963132136,inner
2,7,5.0,1.836013341441376,105.19581559430262,outer
2,20,4.0,1.83601334202698,105.19581562785524,middle
2,33,3.0,1.8360133426249896,105.19581566211868,inner
2,8,5.0,2.102465400414676,120.46239401604362,outer
2,21,4.0,2.1024654009771315,120.46239404826994,middle
2,34,3.0,2.1024654015656976,120.4623940819923,inner
2,9,5.0,2.3667888100857644,135.60700981670442,outer
2,22,4.0,2.366788810644574,135.60700984872184,middle
2,35,3.0,2.366788811230484,135.60700988229203,inner
2,10,5.0,2.62629009398057,150.475338162103,outer
2,23,4.0,2.626290094551221,150.47533819479892,middle
2,36,3.0,2.6262900951516968,150.4753382292036,inner
2,11,5.0,2.8865379488932983,165.3864418759353,outer
2,24,4.0,2.88653794945639,165.3864419081981,middle
