iteration,node_id,radius,theta_rad,theta_deg
0,0,5.0,0.008826646259971647,0.5057295779513082
0,1,5.0,0.19634954084936204,11.249999999999998
0,18,4.0,0.19634954084936207,11.25
0,35,3.0,0.19634954084936207,11.25
0,2,5.0,0.39269908169872414,22.5
0,19,4.0,0.3926990816987242,22.500000000000004
0,36,3.0,0.3926990816987242,22.500000000000004
0,3,5.0,0.5890486225480862,33.75
0,20,4.0,0.5890486225480862,33.75
0,37,3.0,0.5890486225480862,33.75
0,4,5.0,0.7853981633974483,45.0
0,21,4.0,0.7853981633974483,45.0
0,38,3.0,0.7853981633974483,45.0
0,39,3.0,0.9817477042468102,56.24999999999999
0,5,5.0,0.9817477042468103,56.25
0,22,4.0,0.9817477042468103,56.25
0,6,5.0,1.1780972450961724,67.5
0,23,4.0,1.1780972450961724,67.5
0,40,3.0,1.1780972450961724,67.5
0,7,5.0,1.3744467859455345,78.75
0,24,4.0,1.3744467859455345,78.75
0,41,3.0,1.3744467859455345,78.75
0,8,5.0,1.5707963267948966,90.0
0,25,4.0,1.5707963267948966,90.0
0,42,3.0,1.5707963267948966,90.0
0,9,5.0,1.7671458676442586,101.25
0,26,4.0,1.7671458676442586,101.25
0,43,3.0,1.7671458676442586,101.25
0,10,5.0,1.9634954084936207,112.5
0,27,4.0,1.9634954084936207,112.5
0,44,3.0,1.9634954084936207,112.5
0,11,5.0,2.1598449493429825,123.74999999999999
0,28,4.0,2.1598449493429825,123.74999999999999
0,45,3.0,2.1598449493429825,123.74999999999999
0,12,5.0,2.356194490192345,135.0
0,29,4.0,2.356194490192345,135.0
0,46,3.0,2.356194490192345,135.0
0,13,5.0,2.552544031041707,146.25
0,30,4.0,2.552544031041707,146.25
0,47,3.0,2.552544031041707,146.25
0,14,5.0,2.748893571891069,157.5
0,31,4.0,2.748893571891069,157.5
0,48,3.0,2.748893571891069,157.5
0,15,5.0,2.945243112740431,168.75
0,32,4.0,2.945243112740431,168.75
0,49,3.0,2.945243112740431,168.75
0,16,5.0,3.1327660073298214,179.4942704220487
1,0,5.0,0.008727429722452306,0.5000448890935486
1,1,5.0,0.19547264738758063,11.199757705557307
1,18,4.0,0.195472648048405,11.199757743419754
1,35,3.0,0.1954726486916632,11.199757780275734
1,2,5.0,0.38952001889685567,22.317853118645903
1,19,4.0,0.3895200195783966,22.31785315769532
1,36,3.0,0.38952002024335025,22.31785319579436
1,3,5.0,0.585824155035472,33.56525162035016
1,20,4.0,0.5858241557220917,33.56525165969057
1,37,3.0,0.5858241563837874,33.56525169760294
1,4,5.0,0.7819483121502832,44.8023380835895
1,21,4.0,0.7819483128351381,44.80233812282879
1,38,3.0,0.7819483134874728,44.80233816020482
1,39,3.0,0.9783861511866013,56.057397197040736
1,5,5.0,0.9783863537716811,56.0574088043108
1,22,4.0,0.9783863548616667,56.05740886676237
1,6,5.0,1.17577263351185,67.3668095672111
1,23,4.0,1.175772634179559,67.366809605468
1,40,3.0,1.1757726348302804,67.3668096427516
1,7,5.0,1.3735037391242755,78.69596739725863
1,24,4.0,1.373503739778136,78.69596743472208
1,41,3.0,1.3735037404210424,78.6959674715579
1,8,5.0,1.5707963190379164,89.99999955555778
1,25,4.0,1.5707963190416643,89.99999955577252
1,42,3.0,1.5707963190271184,89.9999995549391
1,9,5.0,1.7680888976699198,101.3040316404245
1,26,4.0,1.7680888982865501,101.30403167575481
1,43,3.0,1.768088898908102,101.30403171136712
1,10,5.0,1.9658200032782998,112.63318947024023
